City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
299,Goundam,ML,59.88,16.4145,-3.6708,
308,Oyama,JP,47.82,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
312,Northam,GB,45.61,51.0333,-4.2167,Durrant House Hotel
319,Tshikapa,CD,66.18,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
321,Los Llanos De Aridane,ES,57.13,28.6585,-17.9182,Valle Aridane
325,Altagracia De Orituco,VE,68.14,9.8601,-66.3814,Posada Quinta Mi Refugio
326,Lompoc,US,54.93,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
336,Kashi,CN,32.23,39.4547,75.9797,帕米尔青年旅舍
338,Balkanabat,TM,47.59,39.5108,54.3671,Nebitchi Hotel
340,Kananga,CD,65.64,-5.8958,22.4178,Guest House Wood Land
341,Faya,SA,57.31,18.3851,42.4509,املاك خالد الشعشوع
344,Oruro,BO,45.3,-17.9833,-67.15,Eden by BlueBay
352,Sistranda,NO,35.91,63.7256,8.834,Hotell Frøya
353,Svetlyy,RU,37.45,54.675,20.1347,"Gostinitsa-Kafe, Alena"
354,Luwingu,ZM,60.62,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
355,Etchoropo,MX,58.41,26.7667,-109.6667,Campo de Andrés cruz jusaino
358,Graaff-Reinet,ZA,58.93,-32.2522,24.5308,Rietjiesbos Self Catering
360,Klaksvik,FO,34.72,62.2266,-6.589,Airbnb rooms
361,Simao,CN,68.43,22.7886,100.9748,Changyu Hotel
362,Constantine,DZ,40.41,36.365,6.6147,Grand Hotel Cirta
368,Tangjiazhuang,CN,31.39,39.7333,118.45,Peace Hotel
371,Umm Lajj,SA,61.23,25.0213,37.2685,Moon light Furnished Units
372,Pontevedra,ES,50.14,42.431,-8.6444,Parador de Pontevedra
374,Yiyang,CN,49.39,28.5892,112.3283,Tongcheng International Hotel
380,Liverpool,GB,42.76,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
383,Arlit,NE,53.26,18.7369,7.3853,Case de Passage De la Prefecture
389,Laramie,US,30.29,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
393,Tougan,BF,63.03,13.0667,-3.0667,Hôtel SMAK
394,Awjilah,LY,48.27,29.1081,21.2869,
395,Shenzhen,CN,66.07,22.5455,114.0683,Shenzhen Shanghai Hotel
397,Adrar,MR,60.76,20.5022,-10.0711,
398,Vestmannaeyjar,IS,32.45,63.4427,-20.2734,Glamping & Camping
399,Adre,TD,56.12,13.4667,22.2,
401,Skibbereen,IE,49.1,51.55,-9.2667,The West Cork Hotel
403,Huercal-Overa,ES,56.23,37.389,-1.9454,Hotel Overa S L
405,Colwyn Bay,GB,44.82,53.2948,-3.7267,Bryn Woodlands House
408,Half Moon Bay,US,56.01,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
410,Puerto Madryn,AR,57.94,-42.7692,-65.0385,Hotel Tolosa
414,Te Anau,NZ,63.18,-45.4167,167.7167,Kingsgate Hotel Te Anau
416,Mingguang,CN,41.27,32.7802,117.9638,Yonghao Hotel
417,Pacific Grove,US,53.8,36.6177,-121.9166,Lovers Point Inn
419,Chadiza,ZM,65.07,-14.0678,32.4392,Sankhani Guest House
422,Tessalit,ML,55.11,20.1986,1.0114,
424,Ancud,CL,53.22,-41.8697,-73.8203,Hotel Arena Gruesa
425,Doha,QA,66.18,25.2867,51.5333,Movenpick Hotel Doha
437,Ilam,NP,47.86,26.9167,87.9167,चियाबारी कटेज
438,Yangjiang,CN,56.95,21.85,111.9667,HUALUXE Yangjiang City Center
439,Hinton,CA,30.24,53.4001,-117.5857,Econo Lodge & Suites
441,Dharchula,IN,48.97,29.85,80.5333,Mahara Hotel
443,Castleford,GB,41.54,53.7259,-1.3626,Wheldale Hotel
453,Chulumani,BO,64.38,-16.4096,-67.5263,Hotel Cabanas Paradise
454,Rudbar,AF,59.77,30.15,62.6,
456,Rocha,UY,65.34,-34.4833,-54.3333,Hotel Arrarte
458,Coihaique,CL,54.21,-45.5752,-72.0662,Diego De Almagro Coyhaique
459,Den Helder,NL,42.78,52.9599,4.7593,Hotel Den Helder
460,Asau,RO,32.95,46.4333,26.4,Casa Mika Ciobanus
461,Ziro,IN,38.14,27.6333,93.8333,Ka-ngam homestay
469,Rykhtychi,UA,36.01,49.3851,23.5566,Zaluzhany
471,San Francisco,US,56.68,37.7749,-122.4194,The Clift Royal Sonesta Hotel
482,Longyan,CN,55.24,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
483,Bedele,ET,59.88,8.456,36.353,Central Hotel
489,Chuy,UY,68.04,-33.6971,-53.4616,Nuevo Hotel Plaza
492,Peterhead,GB,37.11,57.5058,-1.7981,Palace Hotel
497,Margate,GB,38.75,51.3813,1.3862,Premier Inn Margate hotel
498,Nanzhou,CN,50.05,29.3596,112.4024,兴禹国际大酒店
499,Belle Fourche,US,44.11,44.6714,-103.8522,Kings Inn
501,Svejbaek,DK,37.81,56.1325,9.6329,Meta
504,Wanning,CN,67.53,18.8003,110.3967,Paradise Hotel
506,Riverton,US,30.38,40.5219,-111.9391,Ramada by Wyndham Draper
508,Rovinj,HR,49.19,45.08,13.64,Hotel Monte Mulini
509,San Ignacio,BZ,69.94,17.1561,-89.0714,Rainforest Haven Inn
510,Dehloran,IR,52.3,32.6941,47.2679,کافه گیم استورم
511,Kijang,KR,37.13,35.2442,129.2139,Samyang Beach Villa
513,Valdivia,CL,50.09,-39.8142,-73.2459,Hostal Entre Rios
516,Linfen,CN,35.37,36.0889,111.5189,Suoxing Hotel
521,Leeuwarden,NL,42.01,53.2014,5.8086,Bastion Hotel Leeuwarden
524,Vila,PT,40.33,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
528,Massakory,TD,60.42,12.996,15.7293,
535,Washington,US,44.35,47.5001,-120.5015,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
543,Baku,AZ,42.85,40.3777,49.892,"Гостиница ""Империя"""
545,Middelburg,ZA,61.81,-25.7751,29.4648,Oregon Place Guest House
546,Baghdad,IQ,44.51,33.3406,44.4009,Baghdad Hotel
548,Cerrito,CO,51.84,6.8432,-72.694,Yariseth juliana
549,Constitucion,CL,57.74,-35.3333,-72.4167,Hotel Boutique Las Azucenas
551,El Dorado,US,46.08,38.7666,-120.5177,South Fork Group Campground
555,Susurluk,TR,36.84,39.9136,28.1578,Çağan Pansiyon
558,Winnemucca,US,35.65,40.973,-117.7357,Winners Inn Casino
563,Hazaribag,IN,63.41,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
566,Dekar,BW,68.72,-21.5333,21.9333,
568,Waddan,LY,47.23,29.1614,16.139,محل الشريف محمد العايب
573,Zenzeli,RU,33.37,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
